Polygon,Num of Images,Geometry
Core Polygon Hampshire (NE->SW),0,"POLYGON Z ((-1.634461 51.473546 0, -1.878906 50.863904 0, -1.473786 50.793642 0, -1.215607 51.405064 0, -1.634461 51.473546 0))"
Core Polygon Hampshire (SE->NW),0,"POLYGON Z ((-1.7807663 50.8578789 0, -1.3613985 50.9060467 0, -1.5385325 51.5251985 0, -1.9634233 51.4764729 0, -1.7807663 50.8578789 0))"
Expanded Polygon England Core (NE->SW),1.25,"POLYGON Z ((-1.881096 50.826987 0, -1.057289 50.693062 0, 0.086612 53.294839 0, -0.782413 53.43745 0, -1.881096 50.826987 0))"
Expanded Polygon Yorks to Hants (NE->SW),1,"POLYGON Z ((-2.384472 50.851806 0, -1.559631 50.719181 0, -0.015486 54.187807 0, -0.902312 54.332209 0, -2.384472 50.851806 0))"
Expanded Polygon Shrop to Hants (SE->NW),0,"POLYGON Z ((-2.103148 50.793896 0, -1.264772 50.888753 0, -1.923925 53.189473 0, -2.805293 53.090319 0, -2.103148 50.793896 0))"
Core Polygon East Yorkshire (NE->SW),1,"POLYGON Z ((-0.5493456 54.2494181 0, -0.8170217 53.6345726 0, -0.36129 53.5628869 0, -0.1059727 54.1844061 0, -0.5493456 54.2494181 0))"
Core Polygon East Yorkshire (SE->NW),1,"POLYGON Z ((-0.6299876 53.6373147 0, -0.1834638 53.6854677 0, -0.3719676 54.3046451 0, -0.8249934 54.2558655 0, -0.6299876 53.6373147 0))"
Expanded Polygon East Yorkshire (SE->NW),0,"POLYGON Z ((-0.84378 53.323443 0, 0.043257 53.419469 0, -0.220377 54.304438 0, -1.125817 54.20663 0, -0.84378 53.323443 0))"
Core Polygon Oxfordshire (NE->SW),0,"POLYGON Z ((-1.3865632 52.0820383 0, -1.6350913 51.4793374 0, -1.2108079 51.4057343 0, -0.9664004 52.0182854 0, -1.3865632 52.0820383 0))"
Core Polygon Oxfordshire (SE->NW),0,"POLYGON Z ((-1.4170882 51.1271084 0, -0.9952756 51.1752664 0, -1.1734004 51.7944241 0, -1.600822 51.7457022 0, -1.4170882 51.1271084 0))"
Expanded Polygon South England (SE->NW),0,"POLYGON Z ((-1.586104 50.8469 0, -0.746977 50.942604 0, -1.123535 52.269943 0, -1.98684 52.171807 0, -1.586104 50.8469 0))"
Core Polygon East Anglia West (NE->SW),1,"POLYGON Z ((0.6275294 52.7530522 0, 0.188809 52.8099003 0, -0.0664148 52.2031212 0, 0.3757291 52.139736 0, 0.6275294 52.7530522 0))"
Core Polygon Peterborough (SE->NW),1.166666667,"POLYGON Z ((-0.2820039 52.1384576 0, 0.1493344 52.1865953 0, -0.0327186 52.8057684 0, -0.4700049 52.7570426 0, -0.2820039 52.1384576 0))"
Expanded Polygon East Anglia West (NE->SW),0,"POLYGON Z ((-0.484239 52.062307 0, 0.360804 51.925668 0, 0.74496 52.792949 0, -0.115474 52.932516 0, -0.484239 52.062307 0))"
Expanded Polygon East Anglia West (SE->NW),0,"POLYGON Z ((0.034127 51.968385 0, 0.894029 52.064484 0, 0.638085 52.949398 0, -0.238797 52.851614 0, 0.034127 51.968385 0))"
Core Polygon Northumberland (NE->SW),1,"POLYGON Z ((-2.4133947 56.001347 0, -2.6984366 55.3952404 0, -2.2233436 55.3279312 0, -1.933454 55.9354491 0, -2.4133947 56.001347 0))"
Core Polygon Northumberland (SE->NW),1,"POLYGON Z ((-2.287337 55.3713248 0, -1.8214245 55.4194451 0, -2.0179434 56.0386497 0, -2.4910914 55.9898555 0, -2.287337 55.3713248 0))"
Expanded Polygon Northumberland (NE->SW),0,"POLYGON Z ((-2.901465 55.526812 0, -1.983941 55.38989 0, -1.734122 55.910205 0, -2.66295 56.04909 0, -2.901465 55.526812 0))"
Expanded Polygon Northumberland (SE->NW),0,"POLYGON Z ((-2.70066 55.513517 0, -1.764913 55.609842 0, -1.90279 56.052378 0, -2.848925 55.955087 0, -2.70066 55.513517 0))"
Core Polygon East Anglia East (NE->SW),1.363636364,"POLYGON Z ((0.878332 52.839071 0, 0.61466 52.228432 0, 1.04862 52.156876 0, 1.298559 52.77681 0, 0.878332 52.839071 0))"
Core Polygon East Anglia East (SE->NW),1.363636364,"POLYGON Z ((0.8187823 52.1182337 0, 1.2499187 52.1663917 0, 1.0678698 52.7855561 0, 0.6307927 52.7368103 0, 0.8187823 52.1182337 0))"
Expanded Polygon East Anglia East (NE->SW),1,"POLYGON Z ((0.446765 52.1463 0, 1.293415 52.009701 0, 1.678231 52.876993 0, 0.816112 53.016529 0, 0.446765 52.1463 0))"
Expanded Polygon East Anglia East (SE->NW),1,"POLYGON Z ((0.88628 52.074298 0, 1.74823 52.170376 0, 1.491748 53.055299 0, 0.612712 52.957529 0, 0.88628 52.074298 0))"
Core ADOPT Yorkshire (NE->SW),1,"POLYGON Z ((-1.156483 53.6893465 0, -0.7154485 53.6255208 0, -0.4579729 54.2359929 0, -0.9051019 54.3007619 0, -1.156483 53.6893465 0))"
Core Polygon Cornwall (NE->SW),0,"POLYGON Z ((-4.9601052 50.7666281 0, -5.209462 50.1641587 0, -4.8058094 50.0908545 0, -4.54816 50.7029691 0, -4.9601052 50.7666281 0))"
Core Polygon Cornwall (SE->NW),0,"POLYGON Z ((-4.8560583 50.1298213 0, -4.443109 50.1779867 0, -4.6175312 50.7971348 0, -5.0357799 50.7484284 0, -4.8560583 50.1298213 0))"
Expanded Polygon Cornwall (NE->SW),0,"POLYGON Z ((-5.296041 50.755868 0, -5.584276 50.063127 0, -4.758212 49.92816 0, -4.465863 50.62286 0, -5.296041 50.755868 0))"
Expanded Polygon Cornwall (SE->NW),0,"POLYGON Z ((-5.356378 50.107371 0, -4.530504 50.203916 0, -4.653056 50.64634 0, -5.486463 50.549023 0, -5.356378 50.107371 0))"
Core Polygon West Yorkshire (NE->SW),0,"POLYGON Z ((-1.4387817 54.4407262 0, -1.7140997 53.8342236 0, -1.2776953 53.7594202 0, -0.9954706 54.373418 0, -1.4387817 54.4407262 0))"
Core Polygon West Yorkshire (SE->NW),0,"POLYGON Z ((-1.4834767 53.783781 0, -1.0353868 53.8319093 0, -1.2244467 54.4510982 0, -1.679097 54.4023399 0, -1.4834767 53.783781 0))"
Expanded Polygon Yorkshire West (NE->SW),0,"POLYGON Z ((-1.581716 54.447177 0, -1.912706 53.754629 0, -1.024089 53.624501 0, -0.699962 54.3188 0, -1.581716 54.447177 0))"
Expanded Polygon England Core (SE->NW),1,"POLYGON Z ((-0.873927 51.877672 0, -0.015378 51.972195 0, -0.798036 54.626902 0, -1.710018 54.527146 0, -0.873927 51.877672 0))"
Core Polygon Peterborough (NE->SW),1.153846154,"POLYGON Z ((-0.2730487 52.8786883 0, -0.5375535 52.2726106 0, -0.0965805 52.2052931 0, 0.171725 52.8129038 0, -0.2730487 52.8786883 0))"
Core Polygon East Anglia West (SE->NW),1,"POLYGON Z ((0.1827576 52.2081943 0, 0.61477 52.2563427 0, 0.4323905 52.8755118 0, -0.005594 52.8267734 0, 0.1827576 52.2081943 0))"
Core Polygon Lincolnshire (NE->SW),1.6,"POLYGON Z ((-0.6081421 53.2732531 0, -0.8640701 52.6633433 0, -0.426516 52.5906808 0, -0.1691946 53.2098438 0, -0.6081421 53.2732531 0))"
Core Polygon Lincolnshire (SE->NW),1.625,"POLYGON Z ((-0.6009545 52.744729 0, -0.1636344 52.7928674 0, -0.3482064 53.4120445 0, -0.7916908 53.3633028 0, -0.6009545 52.744729 0))"
Core ADOPT Yorkshire (SE->NW),1,"POLYGON Z ((-0.919876 53.619766 0, -0.4778995 53.6810523 0, -0.7190488 54.2938805 0, -1.167194 54.2317044 0, -0.919876 53.619766 0))"